num_topics,passes,coherence,perplexity,representation
2,8,0.5729892793123676,-6.977824414604652,unigram
3,8,0.5783972564175306,-6.97887725362264,unigram
4,8,0.5676410951794476,-7.030079850033997,unigram
5,8,0.5650987852567684,-7.067528264043407,unigram
6,8,0.5102493913167098,-7.102823563146167,unigram
7,8,0.5699960407132397,-7.1189360103674355,unigram
8,8,0.5557087998918763,-7.153060639195196,unigram
9,8,0.47913417710306433,-7.152736703070627,unigram
10,8,0.47740706735178096,-7.170525216734893,unigram
11,8,0.5162870755479164,-7.231906668332512,unigram
12,8,0.5052955819297139,-7.366938802869543,unigram
2,8,0.45993003211165695,-7.317935271772317,bigram
3,8,0.4307856446129998,-7.271294658013451,bigram
4,8,0.491070867675267,-7.323007937944833,bigram
5,8,0.4531173578241464,-7.362651151093118,bigram
6,8,0.44306505507760113,-7.411558314389764,bigram
7,8,0.384496561578111,-7.421835397566238,bigram
8,8,0.450639826764169,-7.453498335340376,bigram
9,8,0.42516136848923836,-7.4736806598167655,bigram
10,8,0.44461327730423417,-7.50926381961572,bigram
11,8,0.41224225083279825,-7.508548271284245,bigram
12,8,0.4232624659988303,-7.72896747413754,bigram
2,8,0.4819970567905444,-7.308347984238564,trigram
3,8,0.5113185481536165,-7.336238249432879,trigram
4,8,0.4931270855137202,-7.405507207101934,trigram
5,8,0.4808008800436835,-7.440228506056225,trigram
6,8,0.4756556933564086,-7.4699739398114495,trigram
7,8,0.4258268452071821,-7.488550111779708,trigram
8,8,0.4446258101875752,-7.517554987821403,trigram
9,8,0.4817802059606849,-7.533002135784383,trigram
10,8,0.45825403483106336,-7.58507586206276,trigram
11,8,0.4440234167842251,-7.6095236852393535,trigram
12,8,0.4324553494154823,-7.807630520793048,trigram
